Name,Summary,URL,エピソード種別,テーマ,ルディクレア関連度,哲学者,難易度
#1 ソクラテス「無知の知」のヤバさ,"「無知の知」は、自らの限界を自覚し、真理探求の出発点とする積極的営み。知識量より謙虚な探求姿勢を重視。現代の「知ったかぶり」や慢心へのカウンター。プラトンの『リュシス』では、相手の無知を認め共に探求する姿勢に友情の根源を見出す。
【Search Tags】: ソクラテス, 無知の知, 産婆術, 哲学, 知識論, 謙虚さ, 探求",https://www.youtube.com/watch?v=g7W8RSHy8Ic,哲学解説,"日常・実践, 社会・政治, 認識論",中,"ソクラテス, プラトン",中級
#2 「友達ってなに？」をソクラテスが考えると、どうなる？,"友情の本質をソクラテス的問答法で探求。日常的な「友達とは？」から、善への愛、必要性、そして「無知な者（＝善を必要とする者）が知者（＝善そのもの）を愛する」という結論へ。欠如と欲求を基盤とする友情像が提示される。
【Search Tags】：ソクラテス 友情 リュシス 問答法 善 愛 欠如 必要性 無知 知者 プラトン",https://www.youtube.com/watch?v=1XjJsSKzInE,哲学解説,"倫理学, 意味・価値, 関係・他者",中,"ソクラテス, プラトン",中級
#3 どこまでも人の気持ちが分からない男、ソクラテス,"**【Search Tags】**: ソクラテス, プラトン, リュシス, 友情, フィリア, オイケイオン, 問答法, 人間関係, 感情, 論理, 共通の善, 価値観, キャリア相談, 哲学。
**【結論の一言】**: ソクラテスは「人の気持ちが分からない」のではなく、友情の根源にある「共通の善」を探求した。問答法は感情の奥にある本質を炙り出す道具であり、現代の人間関係やキャリア相談にも応用可能。",https://www.youtube.com/watch?v=bVTRDzmyaio,哲学解説,"倫理学, 意味・価値, 関係・他者",中,"ソクラテス, プラトン",中級
#4 絶対にマネしちゃいけない、ソクラテスの会話の終わらせ方,"ソクラテスの対話は「論破」ではなく「無知の知」への導き。結論を保留し、探求を促す賢明な終結法。友情をテーマにした『リュシス』も同様。即座の結論を求める現代に、積極的な意味を持つ。
【Search Tags】: ソクラテス, 問答法, 無知の知, リュシス, 結論保留, 哲学",https://www.youtube.com/watch?v=5hHNdp86avU,哲学解説,"倫理学, 意味・価値, 日常・実践",中,"ソクラテス, プラトン",中級
#5 【ソクラテス雑談】そりゃ死刑にもなるわソクラテス、という話,ソクラテスの死刑は、問答法による既存権威・価値観への「破壊的」な挑戦が、アテナイ社会の秩序維持を脅かすと見なされた必然的結果。無知の知を基盤とした探求は、時に社会を揺るがす。破壊的コーチングやデリダの脱構築とのアナロジーで、その機能とリスクを現代的に再解釈。（187文字）,https://www.youtube.com/watch?v=5yX5Hl7wI3g,雑談,"倫理学, 日常・実践, 社会・政治",中,"ソクラテス, デリダ, プラトン, 脱構築",中級
#6 プラトン・イデア・宇宙,"プラトンのイデア論を宇宙観から探求。ソクラテスの死、アカデメイア設立といった背景を踏まえ、現代科学（量子力学）との対比でその普遍的意義を再認識。イデア論は現実探求の出発点となりうる。次回はイデア論に踏み込む。
#プラトン #イデア論 #宇宙観 #量子力学 #哲学史",https://www.youtube.com/watch?v=aXciAE4Cxco,哲学解説,"存在論, 意味・価値, 科学・技術",中,"ソクラテス, プラトン",中級
#7 プラトンの「イデア」とは？なぜイデアが必要だったのか,,https://www.youtube.com/watch?v=RPbelHb8y-c,哲学解説,"存在論, 認識論",中,プラトン,中級
#8 続「イデア」とは。イデアの理解を深めます,"プラトンの「イデア」は、感覚世界を超えた個物を成立させる普遍的・根本的な「原型」であり、認識の根拠となる。個物を「りんごの鋳型」と捉えることで、その理解は深まり、プラトン哲学（特に『ティマイオス』）への入り口となる。
#プラトン #イデア論 #原型 #普遍と個別",https://www.youtube.com/watch?v=qGirp06kxvA,哲学解説,"存在論, 時間・生成, 認識論",中,プラトン,中級
#9 「人間」「国家」「宇宙」を同じモデルで考えたプラトン,プラトンは「人間」「国家」「宇宙」を共通の「理性」と「秩序」で捉えた。国家論から宇宙論への飛躍は、理想国家の普遍性を探求するため。宇宙も現象界として「製作者（デミウルゴス）」を持つと想定。このアナロジーは、抽象的原理の顕在化であり、認識論的実験。#プラトン #国家論 #宇宙論 #イデア論 #理性 #秩序 #アナロジー,https://www.youtube.com/watch?v=rc0NqNlisHs,哲学解説,"社会・政治, 認識論",中,プラトン,中級
#10 プラトンとSDGs,"【Search Tags】: プラトン, イデア論, 善のイデア, SDGs, 哲学, 思考ツール, 現代思想, 目的論, グローバル課題, 倫理
【結論の一言】: プラトンの「善のイデア」は、SDGsの抽象的・究極的な目標の指標となり、その「なぜ」を問い直す哲学的な思考ツールとして機能する。",https://www.youtube.com/watch?v=CszoSUNZXj8,哲学解説,"倫理学, 社会・政治",中,プラトン,中級
